index.md:9: [redirected permanently] http://www.apache.org/licenses/LICENSE-2.0 to https://www.apache.org/licenses/LICENSE-2.0
misc/contributing_link.md:110: [redirected with Found] http://www.pydocstyle.org/ to http://www.pydocstyle.org/en/stable/
misc/contributing_link.md:134: [redirected with Found] https://catt.rs/ to https://catt.rs/en/stable/
misc/contributing_link.md:112: [redirected with Found] https://docs.pytest.org/ to https://docs.pytest.org/en/stable/
misc/contributing_link.md:16: [redirected with Found] https://github.com/emdgroup/BayBE/fork to https://github.com/login?return_to=https%3A%2F%2Fgithub.com%2Femdgroup%2FBayBE%2Ffork
_autosummary/baybe.surrogates.gaussian_process.presets.edbo.EDBOKernelFactory.rst:6: [redirected with Found] https://doi.org/10.1038/s41586-021-03213-y to https://www.nature.com/articles/s41586-021-03213-y
misc/contributing_link.md:136: [redirected with Found] https://hypothesis.readthedocs.io/ to https://hypothesis.readthedocs.io/en/latest/
misc/contributing_link.md:109: [redirected with Found] https://mypy.readthedocs.io/ to https://mypy.readthedocs.io/en/stable/
misc/contributing_link.md:113: [redirected with Found] https://pytest-cov.readthedocs.io/ to https://pytest-cov.readthedocs.io/en/latest/
index.md:310: [redirected with Found] https://shap.readthedocs.io/ to https://shap.readthedocs.io/en/latest/
misc/contributing_link.md:114: [redirected with Found] https://www.sphinx-doc.org/ to https://www.sphinx-doc.org/en/master/
misc/contributing_link.md:116: [redirected with Found] https://tox.wiki/ to https://tox.wiki/en/4.27.0/
misc/contributing_link.md:132: [redirected with Found] https://www.attrs.org/ to https://www.attrs.org/en/stable/
